                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3784,                 3.1962,                 1.7563,                0.30306,                0.15928,                0.03304,                0.01528,                 2.5008,                  24.77,                 1.8685,             0.00036395,             0.00036395,             0.00036395
                      1,                 2.2009,                 2.1585,                 1.6963,                0.28433,                0.28934,                0.22474,                0.07863,                 2.5795,                 6.2734,                  2.042,             0.00072944,             0.00072944,             0.00072944
                      2,                 2.2565,                 2.0707,                 1.7187,                 0.2955,                0.25531,                0.20999,                0.07125,                 2.4112,                 2.8449,                 1.9447,                0.00109,                0.00109,                0.00109
                      3,                 2.1554,                 1.8953,                 1.6327,                0.43322,                0.37734,                0.34108,                0.11926,                 2.3995,                 2.2165,                 1.9815,               0.001089,               0.001089,               0.001089
                      4,                 2.1246,                 1.7334,                 1.6497,                0.56287,                0.21771,                0.27565,                0.10362,                 2.2779,                 3.1209,                 1.8125,               0.001089,               0.001089,               0.001089
                      5,                 2.0508,                 1.6255,                 1.5719,                0.47594,                0.28485,                0.29088,                0.10932,                 2.3092,                 3.8531,                 1.7667,              0.0010817,              0.0010817,              0.0010817
                      6,                  1.997,                  1.509,                 1.5389,                0.63778,                0.41223,                0.47839,                0.21822,                 2.0297,                 1.9186,                  1.576,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.9509,                 1.4424,                 1.4975,                0.51341,                0.49792,                0.48236,                0.20406,                 2.1511,                 1.7425,                 1.6495,               0.001067,               0.001067,               0.001067
                      8,                 1.9122,                 1.3339,                 1.4561,                0.55379,                0.50098,                0.55825,                 0.2249,                 2.1184,                 1.5139,                   1.61,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.9115,                 1.3359,                 1.4798,                0.68577,                 0.5754,                0.62371,                0.27441,                 2.0235,                 1.4343,                 1.5225,              0.0010523,              0.0010523,              0.0010523
