                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3517,                 3.4299,                 1.7422,                0.50296,                0.28772,                0.24172,                0.09789,                 2.3317,                 2.9646,                 1.7046,             0.00036395,             0.00036395,             0.00036395
                      1,                 2.1114,                 1.9547,                 1.5677,                 0.4097,                0.36359,                0.34963,                0.12337,                 2.2734,                 2.1443,                 1.6797,             0.00072701,             0.00072701,             0.00072701
                      2,                 2.1043,                 1.8731,                 1.5937,                0.34486,                0.29845,                0.26205,                 0.1056,                 2.3451,                 2.5802,                 1.7197,              0.0010827,              0.0010827,              0.0010827
                      3,                 2.0512,                 1.6723,                 1.5606,                0.34599,                0.39413,                0.34673,                0.13046,                 2.2927,                 2.3716,                 1.7501,               0.001078,               0.001078,               0.001078
                      4,                 2.0368,                 1.5854,                 1.5853,                0.59313,                0.48794,                0.51141,                0.20233,                  2.153,                 2.0591,                 1.6729,               0.001078,               0.001078,               0.001078
                      5,                 1.9637,                 1.4356,                 1.5096,                0.56627,                0.44838,                0.45834,                0.18075,                 2.2931,                 2.0906,                 1.7379,               0.001067,               0.001067,               0.001067
                      6,                  1.932,                 1.3274,                 1.4869,                0.64955,                0.47463,                0.51754,                0.21774,                  2.132,                 1.6712,                 1.5902,               0.001056,               0.001056,               0.001056
                      7,                 1.8867,                 1.2873,                 1.4518,                 0.8117,                0.56566,                0.68637,                0.31165,                 1.9558,                 1.3261,                 1.5273,               0.001045,               0.001045,               0.001045
                      8,                 1.8558,                 1.2093,                 1.4262,                0.68059,                0.64172,                0.67472,                0.29013,                 1.9711,                 1.3283,                 1.5308,               0.001034,               0.001034,               0.001034
                      9,                 1.8503,                 1.2152,                 1.4412,                0.68881,                0.62947,                0.67472,                0.28897,                 1.9688,                 1.2456,                 1.5229,               0.001023,               0.001023,               0.001023
                     10,                 1.7699,                 1.1749,                 1.4028,                0.67471,                0.66718,                0.68926,                0.31099,                 1.8927,                 1.1727,                 1.4771,               0.001012,               0.001012,               0.001012
                     11,                  1.801,                 1.1519,                 1.3891,                0.68413,                0.57609,                0.64001,                0.27956,                 1.9934,                 1.4043,                 1.4966,               0.001001,               0.001001,               0.001001
                     12,                 1.7545,                  1.099,                 1.3837,                0.74519,                0.63483,                0.69099,                0.32114,                 1.9375,                 1.1458,                 1.4944,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.7255,                 1.1488,                  1.358,                0.70537,                0.67615,                0.69863,                0.32125,                 1.8824,                 1.1751,                 1.4555,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.7158,                 1.0238,                  1.341,                0.71969,                0.66511,                0.70245,                0.30339,                 1.9522,                 1.1419,                 1.4892,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.6823,                 1.0165,                 1.3485,                0.77568,                0.65675,                0.72749,                0.33112,                 1.8905,                 1.1433,                 1.4645,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.6539,                 1.0123,                 1.3244,                0.75644,                0.72002,                0.75727,                 0.3517,                 1.8606,                 1.0431,                 1.4649,             0.00094602,             0.00094602,             0.00094602
