                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4893,                  4.044,                 1.7457,                0.00486,                0.36327,                0.04474,                0.01403,                 2.2525,                 3.8495,                 1.5677,             0.00036395,             0.00036395,             0.00036395
                      1,                 2.2344,                 2.8533,                 1.5463,                0.70296,                0.13184,                0.19835,                0.07918,                 2.3527,                 3.0215,                 1.5745,             0.00072944,             0.00072944,             0.00072944
                      2,                 2.1651,                 2.5157,                 1.4789,                0.40103,                0.29773,                 0.2646,                0.10066,                 2.2513,                 2.3168,                 1.4698,                0.00109,                0.00109,                0.00109
                      3,                 2.1028,                 2.2355,                 1.4282,                0.38642,                0.28847,                0.27871,                0.11287,                 2.1754,                 2.3199,                 1.4317,               0.001089,               0.001089,               0.001089
                      4,                 2.0721,                 2.0434,                 1.4236,                0.51565,                0.31298,                0.39571,                0.16356,                  2.062,                 1.9681,                  1.395,               0.001089,               0.001089,               0.001089
                      5,                 2.0129,                 1.8651,                 1.3811,                0.67351,                0.32287,                0.36445,                0.15754,                 2.1333,                 2.0195,                 1.4078,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.9933,                 1.7637,                 1.3496,                0.58945,                0.39669,                0.47738,                0.19778,                 2.0725,                 1.6448,                 1.4162,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.9491,                 1.6861,                 1.3215,                0.55027,                0.49559,                0.48941,                0.20259,                 2.0135,                 1.7271,                 1.4259,               0.001067,               0.001067,               0.001067
                      8,                 1.9224,                 1.5655,                 1.2945,                0.55573,                0.43508,                0.51853,                0.21915,                 2.0454,                 1.5688,                 1.3648,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.9156,                 1.5363,                 1.3007,                  0.615,                0.51218,                0.58742,                0.24101,                 2.0144,                 1.4811,                  1.338,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.8692,                 1.4727,                  1.286,                0.57456,                0.55501,                0.57441,                0.23925,                 1.9585,                 1.4691,                 1.3091,               0.001045,               0.001045,               0.001045
                     11,                 1.8799,                 1.4536,                 1.2695,                0.70835,                 0.5747,                0.63652,                 0.2746,                 1.9209,                 1.4809,                 1.3162,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.8514,                 1.4083,                 1.2718,                 0.7639,                0.57578,                0.68209,                0.30548,                 1.8988,                 1.3197,                 1.2693,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.8133,                 1.4608,                 1.2293,                0.73329,                0.55293,                0.63612,                0.27312,                 1.9815,                 1.3265,                  1.339,               0.001023,               0.001023,               0.001023
                     14,                 1.7899,                 1.2944,                 1.2212,                0.82924,                 0.5385,                0.68397,                0.29956,                 1.8914,                 1.3117,                 1.2627,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.7902,                 1.2927,                 1.2413,                0.77107,                0.56368,                0.64396,                 0.2937,                 1.9181,                 1.3164,                 1.2732,              0.0010083,              0.0010083,              0.0010083
                     16,                 1.7432,                 1.3081,                 1.2012,                0.80485,                0.56476,                0.70629,                 0.3018,                 2.0086,                 1.3855,                  1.318,               0.001001,               0.001001,               0.001001
                     17,                 1.7915,                  1.234,                 1.2261,                0.67891,                0.57731,                0.64655,                0.27819,                 2.0165,                 1.3617,                 1.3721,             0.00099368,             0.00099368,             0.00099368
                     18,                  1.742,                  1.208,                 1.2065,                0.79334,                0.64025,                0.73145,                0.30372,                 1.9076,                 1.3709,                 1.2998,             0.00098635,             0.00098635,             0.00098635
                     19,                 1.7596,                 1.2269,                 1.2108,                0.75085,                0.63796,                0.72727,                0.29585,                  1.961,                 1.2904,                  1.311,             0.00097901,             0.00097901,             0.00097901
                     20,                 1.7474,                 1.1673,                 1.1885,                0.72768,                  0.708,                0.75503,                  0.342,                 1.8777,                  1.204,                 1.2653,             0.00097168,             0.00097168,             0.00097168
                     21,                 1.7293,                 1.1754,                 1.1948,                0.79321,                0.65703,                0.73173,                0.34378,                 1.8819,                 1.1904,                 1.2382,             0.00096435,             0.00096435,             0.00096435
                     22,                 1.7245,                 1.1428,                 1.1965,                0.83652,                0.71895,                0.80029,                0.35612,                 1.8532,                 1.1312,                 1.2438,             0.00095702,             0.00095702,             0.00095702
                     23,                 1.7009,                 1.1183,                 1.1784,                0.79217,                0.65735,                0.75494,                0.32717,                  1.872,                 1.1729,                 1.2401,             0.00094968,             0.00094968,             0.00094968
                     24,                 1.7393,                 1.1509,                 1.1777,                0.85514,                0.70499,                0.82213,                0.34644,                 1.8731,                 1.1065,                 1.2444,             0.00094235,             0.00094235,             0.00094235
                     25,                 1.6713,                 1.0885,                 1.1827,                0.77292,                 0.7338,                0.77867,                0.34346,                 1.8406,                 1.0964,                 1.2443,             0.00093502,             0.00093502,             0.00093502
                     26,                 1.6847,                 1.0598,                 1.1688,                0.83304,                0.68666,                0.78757,                0.34991,                 1.8392,                 1.0922,                 1.2356,             0.00092769,             0.00092769,             0.00092769
                     27,                 1.7127,                 1.0913,                 1.1892,                0.75471,                0.68715,                0.73188,                0.34388,                 1.8355,                  1.075,                 1.2221,             0.00092035,             0.00092035,             0.00092035
                     28,                  1.688,                 1.0611,                 1.1585,                0.78322,                0.74211,                0.79794,                0.35274,                  1.899,                 1.0957,                 1.2547,             0.00091302,             0.00091302,             0.00091302
                     29,                 1.6833,                 1.0578,                 1.1646,                0.79286,                0.71343,                0.77138,                0.35322,                 1.8256,                 1.0077,                 1.2157,             0.00090569,             0.00090569,             0.00090569
                     30,                 1.6406,                 1.0488,                 1.1544,                 0.8397,                 0.7186,                0.79021,                0.35806,                 1.8251,                 1.1353,                 1.2222,             0.00089835,             0.00089835,             0.00089835
                     31,                 1.6389,                 1.0128,                 1.1458,                0.74284,                0.74201,                0.76647,                0.34841,                 1.8599,                 1.0517,                 1.2345,             0.00089102,             0.00089102,             0.00089102
                     32,                 1.6704,                 1.0194,                 1.1758,                0.85976,                0.74319,                0.81426,                0.38823,                 1.8101,                 1.0088,                 1.2123,             0.00088369,             0.00088369,             0.00088369
                     33,                 1.6492,                 1.0178,                 1.1506,                0.82723,                0.71194,                 0.7925,                0.35032,                  1.847,                 1.0499,                 1.2386,             0.00087636,             0.00087636,             0.00087636
                     34,                  1.597,                0.98857,                 1.1366,                0.77539,                0.75339,                0.77315,                0.35337,                 1.8224,                 1.0282,                 1.2343,             0.00086902,             0.00086902,             0.00086902
                     35,                 1.6336,                0.98009,                 1.1461,                0.80908,                 0.7665,                0.81559,                0.37482,                 1.8234,                  1.003,                 1.2274,             0.00086169,             0.00086169,             0.00086169
                     36,                 1.6223,                 1.0001,                 1.1426,                0.80034,                0.77382,                0.82707,                0.37806,                 1.8307,                 1.0403,                 1.2384,             0.00085436,             0.00085436,             0.00085436
                     37,                 1.6285,                0.95784,                 1.1387,                0.85442,                0.78784,                0.85486,                0.38821,                   1.79,                0.99213,                 1.2003,             0.00084703,             0.00084703,             0.00084703
                     38,                 1.5957,                0.95423,                 1.1318,                0.76218,                0.74124,                0.77643,                0.35106,                  1.882,                 1.0329,                 1.2337,             0.00083969,             0.00083969,             0.00083969
                     39,                 1.5779,                0.94596,                 1.1413,                0.83591,                0.75813,                0.82477,                0.36684,                 1.8205,                 1.0312,                 1.2139,             0.00083236,             0.00083236,             0.00083236
                     40,                 1.5434,                0.97454,                 1.0952,                0.84359,                0.80774,                0.83829,                0.38731,                 1.8217,                0.97614,                 1.2126,             0.00082503,             0.00082503,             0.00082503
                     41,                 1.5914,                0.94212,                 1.1194,                 0.7922,                0.79945,                0.83135,                0.38683,                 1.8218,                 1.0554,                 1.2156,              0.0008177,              0.0008177,              0.0008177
                     42,                 1.5803,                0.93472,                 1.1208,                0.85766,                0.81333,                0.85519,                0.39908,                  1.769,                0.95308,                 1.1809,             0.00081036,             0.00081036,             0.00081036
