                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4359,                 3.6767,                 1.7604,                0.53982,                0.25996,                0.22575,                0.08022,                 2.2683,                 3.0267,                 1.6471,             0.00036395,             0.00036395,             0.00036395
                      1,                 2.1152,                 2.1471,                 1.5411,                0.40886,                0.44944,                0.36404,                0.13877,                 2.3081,                 2.4108,                  1.629,             0.00072944,             0.00072944,             0.00072944
                      2,                 2.0974,                 1.8374,                 1.4978,                0.46553,                0.40391,                0.39426,                0.15903,                 2.2034,                 2.1386,                 1.5619,                0.00109,                0.00109,                0.00109
                      3,                 2.0184,                 1.7116,                 1.4622,                0.58277,                0.38544,                0.40017,                 0.1592,                 2.1294,                  1.891,                 1.5676,               0.001089,               0.001089,               0.001089
                      4,                 1.9988,                 1.5769,                 1.4558,                   0.54,                 0.5036,                0.50732,                0.19543,                 2.0844,                 1.7656,                 1.4904,               0.001089,               0.001089,               0.001089
                      5,                 1.9556,                 1.4704,                 1.4202,                0.51909,                0.55035,                0.52996,                0.22974,                 2.0476,                 1.5194,                 1.4698,              0.0010817,              0.0010817,              0.0010817
                      6,                  1.899,                 1.3781,                 1.3886,                0.78358,                0.51117,                0.60406,                0.26332,                 1.9967,                  1.413,                 1.4743,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.8727,                 1.3466,                 1.3794,                0.60245,                0.56322,                0.56022,                0.22122,                 2.0845,                 1.5417,                 1.5017,               0.001067,               0.001067,               0.001067
                      8,                 1.8417,                 1.2642,                 1.3389,                0.70243,                0.58557,                0.63037,                0.26033,                  2.016,                 1.3611,                 1.4859,              0.0010597,              0.0010597,              0.0010597
                      9,                  1.818,                 1.2419,                 1.3383,                0.74275,                 0.6036,                0.68467,                0.29743,                 1.9807,                 1.2796,                 1.4255,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.7744,                 1.2124,                 1.3134,                0.71969,                0.64666,                0.70686,                  0.311,                 1.9352,                 1.2819,                 1.4194,               0.001045,               0.001045,               0.001045
                     11,                 1.8131,                 1.1933,                 1.3238,                0.73032,                0.66371,                0.73335,                0.32119,                 1.9141,                  1.213,                 1.4156,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.7744,                 1.1862,                 1.3177,                 0.7697,                0.64288,                0.70666,                0.33778,                 1.8759,                 1.1809,                 1.3909,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.7291,                 1.2505,                 1.2801,                0.66795,                0.72576,                0.73795,                0.32932,                 1.8778,                 1.1376,                 1.4104,               0.001023,               0.001023,               0.001023
                     14,                  1.714,                 1.0903,                 1.2649,                0.81566,                0.72704,                0.79164,                0.35921,                 1.8489,                 1.0786,                 1.3466,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.6994,                 1.0488,                 1.2795,                0.75507,                0.75616,                0.75135,                0.34908,                 1.8384,                 1.1331,                 1.3479,              0.0010083,              0.0010083,              0.0010083
                     16,                 1.6624,                 1.0789,                 1.2412,                0.76825,                 0.6881,                0.74125,                 0.3236,                 1.8608,                 1.1813,                 1.3434,               0.001001,               0.001001,               0.001001
                     17,                 1.6809,                 1.0531,                 1.2579,                0.83225,                0.60196,                0.70371,                0.33246,                 1.8291,                 1.1058,                 1.3551,             0.00099368,             0.00099368,             0.00099368
                     18,                 1.6648,                 1.0309,                 1.2527,                0.84749,                0.70548,                 0.7941,                0.38203,                 1.8123,                 1.0217,                  1.371,             0.00098635,             0.00098635,             0.00098635
                     19,                 1.6535,                 1.0137,                 1.2599,                0.82462,                0.69603,                0.81443,                0.36172,                 1.8523,                 1.1033,                 1.3646,             0.00097901,             0.00097901,             0.00097901
                     20,                 1.6492,                 1.0028,                 1.2323,                0.78008,                0.77411,                 0.8039,                0.37987,                 1.7573,                 1.0071,                 1.3251,             0.00097168,             0.00097168,             0.00097168
                     21,                 1.6302,                0.96745,                 1.2387,                0.80104,                0.75944,                0.82936,                0.38698,                  1.762,                 1.0328,                 1.3186,             0.00096435,             0.00096435,             0.00096435
                     22,                  1.609,                0.96703,                 1.2375,                  0.831,                0.71475,                0.80201,                0.39434,                 1.8157,                 1.0183,                 1.3136,             0.00095702,             0.00095702,             0.00095702
                     23,                 1.6031,                0.94924,                 1.2243,                0.77077,                0.76479,                0.79792,                0.35895,                 1.8069,                 1.0485,                 1.3413,             0.00094968,             0.00094968,             0.00094968
                     24,                 1.6076,                0.94807,                 1.2163,                 0.8011,                 0.7796,                0.82446,                0.37584,                 1.8801,                 1.0478,                 1.4073,             0.00094235,             0.00094235,             0.00094235
                     25,                 1.5828,                0.93149,                 1.2274,                0.79103,                0.76398,                0.81221,                0.39814,                  1.737,                0.97203,                  1.306,             0.00093502,             0.00093502,             0.00093502
                     26,                 1.5856,                0.91179,                 1.2113,                0.76859,                0.79564,                0.82211,                0.38602,                  1.803,                0.94784,                 1.3419,             0.00092769,             0.00092769,             0.00092769
                     27,                 1.6241,                0.97105,                 1.2356,                0.82016,                0.79406,                0.82715,                0.41041,                 1.7822,                 0.9507,                 1.3061,             0.00092035,             0.00092035,             0.00092035
                     28,                 1.5857,                0.92785,                 1.1914,                 0.8312,                0.73456,                0.83155,                0.39869,                 1.8282,                0.94278,                 1.3423,             0.00091302,             0.00091302,             0.00091302
                     29,                 1.5708,                0.90171,                 1.2074,                0.79176,                0.73506,                0.79795,                0.37353,                 1.8491,                 1.0003,                 1.3485,             0.00090569,             0.00090569,             0.00090569
                     30,                 1.5413,                 0.8734,                 1.1972,                0.85664,                0.75608,                0.82412,                 0.3879,                 1.7865,                0.98529,                  1.326,             0.00089835,             0.00089835,             0.00089835
                     31,                 1.5379,                0.87419,                  1.192,                0.82381,                0.80581,                0.83138,                0.40965,                 1.7768,                0.91732,                 1.3273,             0.00089102,             0.00089102,             0.00089102
                     32,                 1.5402,                0.91611,                 1.2057,                0.83697,                0.79283,                0.86248,                0.40566,                  1.807,                0.94313,                 1.3493,             0.00088369,             0.00088369,             0.00088369
                     33,                  1.526,                0.87479,                 1.1824,                0.82283,                0.79769,                0.84741,                0.39458,                 1.7762,                0.89411,                 1.3205,             0.00087636,             0.00087636,             0.00087636
                     34,                 1.4739,                0.85448,                 1.1635,                0.84803,                0.82297,                0.85405,                0.41458,                 1.7312,                0.93159,                 1.3069,             0.00086902,             0.00086902,             0.00086902
                     35,                 1.5351,                0.85485,                 1.1818,                0.84362,                0.83307,                0.87845,                0.42042,                 1.7506,                0.94708,                  1.296,             0.00086169,             0.00086169,             0.00086169
                     36,                 1.5077,                0.85205,                 1.1647,                0.84259,                0.80613,                0.87263,                0.41152,                  1.819,                0.92015,                 1.3457,             0.00085436,             0.00085436,             0.00085436
                     37,                 1.4986,                0.86348,                 1.1676,                 0.8484,                0.83103,                0.85869,                0.41283,                 1.7625,                0.92651,                 1.3212,             0.00084703,             0.00084703,             0.00084703
                     38,                 1.4865,                0.82473,                 1.1578,                0.86094,                0.82406,                0.89088,                0.42025,                   1.78,                0.89952,                 1.3088,             0.00083969,             0.00083969,             0.00083969
                     39,                 1.4856,                0.81897,                 1.1697,                0.84658,                0.77736,                 0.8305,                0.38797,                 1.7629,                0.92273,                 1.2863,             0.00083236,             0.00083236,             0.00083236
                     40,                 1.4466,                0.81105,                 1.1251,                0.87069,                 0.8266,                0.87238,                0.39985,                 1.7776,                0.92371,                 1.3205,             0.00082503,             0.00082503,             0.00082503
                     41,                 1.4721,                0.80479,                  1.145,                0.84894,                0.84389,                0.87505,                0.41513,                 1.7678,                 0.8962,                 1.2956,              0.0008177,              0.0008177,              0.0008177
                     42,                 1.4633,                0.80136,                 1.1458,                0.87894,                 0.7845,                0.85627,                0.40363,                 1.7907,                0.90139,                 1.3011,             0.00081036,             0.00081036,             0.00081036
                     43,                 1.4822,                0.86263,                 1.1706,                0.85835,                0.85606,                0.89374,                0.41859,                 1.7433,                0.89806,                 1.2921,             0.00080303,             0.00080303,             0.00080303
                     44,                 1.4479,                0.82638,                 1.1409,                0.81452,                0.84184,                0.86344,                0.41427,                 1.7363,                0.86524,                  1.283,              0.0007957,              0.0007957,              0.0007957
                     45,                 1.4453,                0.79268,                 1.1282,                 0.8641,                0.83203,                0.87158,                0.41865,                 1.7796,                0.90321,                 1.3124,             0.00078837,             0.00078837,             0.00078837
                     46,                 1.4204,                0.77426,                 1.1225,                  0.809,                0.82996,                0.87507,                0.42246,                 1.7455,                0.88335,                 1.2884,             0.00078103,             0.00078103,             0.00078103
                     47,                 1.4252,                0.77624,                 1.1143,                0.88652,                0.83947,                0.91032,                0.43594,                  1.806,                0.87103,                 1.3116,              0.0007737,              0.0007737,              0.0007737
                     48,                 1.4484,                0.79361,                  1.139,                0.81424,                0.84998,                0.87086,                0.42498,                   1.82,                 0.9193,                 1.3081,             0.00076637,             0.00076637,             0.00076637
